hour,sentiment,tweets,topics,sampleTweets,hashtags
Sat Jul 04 13:00:03 UTC 2015,true,576,null,null,null
Sat Jul 04 14:00:03 UTC 2015,false,270,null,null,null
Sat Jul 04 14:00:03 UTC 2015,true,434,null,null,null
Sat Jul 04 15:00:03 UTC 2015,false,342,null,null,null
Sat Jul 04 15:00:03 UTC 2015,true,481,null,null,null
Sat Jul 04 16:00:03 UTC 2015,false,440,null,null,null
Sat Jul 04 16:00:03 UTC 2015,true,452,null,null,null
Sat Jul 04 17:00:03 UTC 2015,false,403,null,null,null
Sat Jul 04 17:00:03 UTC 2015,true,431,null,null,null
Sat Jul 04 18:00:03 UTC 2015,false,352,null,null,null
Sat Jul 04 18:00:03 UTC 2015,true,505,null,null,null
Sat Jul 04 19:00:03 UTC 2015,false,263,null,null,null
Sat Jul 04 19:00:03 UTC 2015,true,552,null,null,null
Sat Jul 04 20:00:03 UTC 2015,false,271,null,null,null
Sat Jul 04 20:00:03 UTC 2015,true,589,null,null,null
Sat Jul 04 21:00:03 UTC 2015,false,195,null,null,null
Sat Jul 04 21:00:03 UTC 2015,true,350,null,null,null
Sat Jul 04 22:00:03 UTC 2015,false,272,null,null,null
Sat Jul 04 22:00:03 UTC 2015,true,324,null,null,null
Sat Jul 04 23:00:03 UTC 2015,false,177,null,null,null
Sat Jul 04 23:00:03 UTC 2015,true,352,null,null,null
Sun Jul 05 00:00:03 UTC 2015,false,144,null,null,null
Sun Jul 05 00:00:03 UTC 2015,true,220,null,null,null
Sun Jul 05 01:00:03 UTC 2015,false,93,null,null,null
Sun Jul 05 01:00:03 UTC 2015,true,114,null,null,null
Sun Jul 05 02:00:03 UTC 2015,false,98,null,null,null
Sun Jul 05 02:00:03 UTC 2015,true,137,null,null,null
Sun Jul 05 03:00:03 UTC 2015,false,112,null,null,null
Sun Jul 05 03:00:03 UTC 2015,true,130,null,null,null
Sun Jul 05 04:00:03 UTC 2015,false,90,null,null,null
Sun Jul 05 04:00:03 UTC 2015,true,172,null,null,null
Sun Jul 05 05:00:03 UTC 2015,false,139,null,null,null
Sun Jul 05 05:00:03 UTC 2015,true,177,null,null,null
Sun Jul 05 06:00:03 UTC 2015,false,158,null,null,null
Sun Jul 05 06:00:03 UTC 2015,true,219,null,null,null
Sun Jul 05 07:00:03 UTC 2015,false,211,null,null,null
Sun Jul 05 07:00:03 UTC 2015,true,211,null,null,null
Sun Jul 05 08:00:03 UTC 2015,false,256,null,null,null
Sun Jul 05 08:00:03 UTC 2015,true,333,null,null,null
Sun Jul 05 09:00:03 UTC 2015,false,384,null,null,null
Sun Jul 05 09:00:03 UTC 2015,true,469,null,null,null
Sun Jul 05 10:00:03 UTC 2015,false,431,null,null,null
Sun Jul 05 10:00:03 UTC 2015,true,515,null,null,null
Sun Jul 05 11:00:03 UTC 2015,false,225,null,null,null
Sun Jul 05 11:00:03 UTC 2015,true,356,null,null,null
Sun Jul 05 12:00:03 UTC 2015,false,336,null,null,null
Sun Jul 05 12:00:03 UTC 2015,true,360,null,null,null
Sun Jul 05 13:00:03 UTC 2015,false,298,null,null,null
Sun Jul 05 13:00:03 UTC 2015,true,515,null,null,null
Sun Jul 05 14:00:03 UTC 2015,false,383,null,null,null
Sun Jul 05 14:00:03 UTC 2015,true,430,null,null,null
Sun Jul 05 15:00:03 UTC 2015,false,601,null,null,null
Sun Jul 05 15:00:03 UTC 2015,true,489,null,null,null
Sun Jul 05 16:00:03 UTC 2015,false,750,null,null,null
Sun Jul 05 16:00:03 UTC 2015,true,713,null,null,null
Sun Jul 05 17:00:03 UTC 2015,false,694,null,null,null
Sun Jul 05 17:00:03 UTC 2015,true,764,null,null,null
Sun Jul 05 18:00:03 UTC 2015,false,838,"pti,khan,pakistan,kpk,karachi,puncture,punctures,trolls,imran,internal",RT @AnjumIqbalPTI: He iz the puncture master... now with 71 punctures...  #SethiKay71Puncture  @AnjumIqbalPTI  #GoNawazGo http://t.co/Iusc1…|Ignoring kpk hospitals n Asking donations for shaukat khanam.  #kuchSharamkuchHaya #justImranKhanstyle|RT @ABKool: According to these genius people RK shouldn't be allowed to vote PTI,"pti,teamik,savebankofkhyber,pakistan,sethikay71puncture,ik,bok,gonawazgo,mqm,kpk"
Sun Jul 05 18:00:03 UTC 2015,true,818,null,null,null
Sun Jul 05 19:00:03 UTC 2015,false,635,null,null,null
Sun Jul 05 19:00:03 UTC 2015,true,838,"pti,khan,http,pakistan,hain,imran,politics,son,man,people",RT @MuhamadAfzalECP: How Much This Man Is Loved ? By Young and old Unforgettable Memories Masha Allah https://t.co/HwsYLq6Dlx|RT @RehamKhan1: Son let me show you how it's done. #Tabdeeli http://t.co/NlW3L46iSL|RT @OverseasPti: My name is OverseasPTI &amp; i am  #TeamIK proud of my leader @ImranKhanPTI  #InsafTwitterForce http://t.co/1N1Hlk1txX,"teamik,pti,kpk,savebankofkhyber,tabdeeli,pakistan,altafhussain,supportgoodmusic,imrankhan,ik"
Sun Jul 05 20:00:03 UTC 2015,false,529,null,null,null
Sun Jul 05 20:00:03 UTC 2015,true,746,null,null,null
Sun Jul 05 21:00:03 UTC 2015,false,391,null,null,null
Sun Jul 05 21:00:03 UTC 2015,true,666,null,null,null
Sun Jul 05 22:00:03 UTC 2015,false,367,null,null,null
Sun Jul 05 22:00:03 UTC 2015,true,663,null,null,null
Sun Jul 05 23:00:03 UTC 2015,false,414,null,null,null
Sun Jul 05 23:00:03 UTC 2015,true,650,null,null,null
Mon Jul 06 00:00:03 UTC 2015,false,227,null,null,null
Mon Jul 06 00:00:03 UTC 2015,true,296,null,null,null
Mon Jul 06 01:00:03 UTC 2015,false,126,null,null,null
Mon Jul 06 01:00:03 UTC 2015,true,223,null,null,null
Mon Jul 06 02:00:03 UTC 2015,false,81,null,null,null
Mon Jul 06 02:00:03 UTC 2015,true,136,null,null,null
Mon Jul 06 03:00:03 UTC 2015,false,122,null,null,null
Mon Jul 06 03:00:03 UTC 2015,true,139,null,null,null
Mon Jul 06 04:00:03 UTC 2015,false,177,null,null,null
Mon Jul 06 04:00:03 UTC 2015,true,160,null,null,null
Mon Jul 06 05:00:03 UTC 2015,false,188,null,null,null
Mon Jul 06 05:00:03 UTC 2015,true,227,null,null,null
Mon Jul 06 06:00:03 UTC 2015,false,209,null,null,null
Mon Jul 06 06:00:03 UTC 2015,true,292,null,null,null
Mon Jul 06 07:00:03 UTC 2015,false,340,null,null,null
Mon Jul 06 07:00:03 UTC 2015,true,334,null,null,null
Mon Jul 06 08:00:03 UTC 2015,false,371,null,null,null
Mon Jul 06 08:00:03 UTC 2015,true,364,null,null,null
Mon Jul 06 09:00:03 UTC 2015,false,408,null,null,null
Mon Jul 06 09:00:03 UTC 2015,true,383,null,null,null
